freq,c0,c1,c2,c3,c4,c5,cNCCZ,cEBGZ,cCBGZ
1.7378e+01,-1.3000e+00,-3.7791e-03,-1.9831e+00,-3.2402e-04,5.3184e-01,-7.1077e+00,-5.1587e-01,3.2410e-01,5.0683e-01
1.8197e+01,-1.3000e+00,-3.9295e-03,-1.9431e+00,-3.1120e-04,5.2369e-01,-7.1133e+00,-5.3854e-01,3.0313e-01,5.0327e-01
1.9055e+01,-1.3000e+00,-4.1022e-03,-1.9023e+00,-2.8744e-04,5.1590e-01,-7.1181e+00,-5.7370e-01,2.6620e-01,4.7659e-01
1.9953e+01,-1.3000e+00,-4.2378e-03,-1.8503e+00,-2.6439e-04,5.0854e-01,-7.1216e+00,-6.5005e-01,1.8167e-01,4.0865e-01
2.0893e+01,-1.3000e+00,-4.3582e-03,-1.7901e+00,-2.3588e-04,5.0193e-01,-7.1253e+00,-7.4401e-01,7.3362e-02,3.0517e-01
2.1878e+01,-1.3000e+00,-4.4841e-03,-1.6983e+00,-1.9463e-04,4.9706e-01,-7.1315e+00,-8.5361e-01,-5.7240e-02,1.7766e-01
2.2909e+01,-1.3000e+00,-4.6512e-03,-1.5828e+00,-1.2270e-04,4.9565e-01,-7.1412e+00,-9.5092e-01,-1.9782e-01,4.2614e-02
2.3988e+01,-1.3000e+00,-4.8046e-03,-1.4599e+00,-5.4799e-05,4.9517e-01,-7.1533e+00,-1.0501e+00,-3.4059e-01,-9.3650e-02
2.5119e+01,-1.3000e+00,-4.9279e-03,-1.3357e+00,-3.3812e-06,4.9519e-01,-7.1646e+00,-1.1412e+00,-4.7855e-01,-2.3139e-01
2.6303e+01,-1.3000e+00,-5.0192e-03,-1.2175e+00,4.0625e-05,4.9481e-01,-7.1714e+00,-1.2128e+00,-6.0378e-01,-3.5563e-01
2.7542e+01,-1.3000e+00,-5.0778e-03,-1.0938e+00,7.2921e-05,4.9480e-01,-7.1750e+00,-1.2820e+00,-6.8944e-01,-4.2979e-01
2.8840e+01,-1.3000e+00,-5.1409e-03,-9.6101e-01,9.2832e-05,4.9366e-01,-7.1732e+00,-1.3282e+00,-7.4727e-01,-4.7889e-01
3.0200e+01,-1.3000e+00,-5.1567e-03,-8.3829e-01,9.5544e-05,4.9256e-01,-7.1703e+00,-1.3555e+00,-7.6515e-01,-5.0106e-01
